PLAYER,POS,AGE,TRB,AST,STL,BLK,PTS
Precious Achiuwa,PF,24,6.6,1.3,0.6,0.9,7.6
Bam Adebayo,C,26,10.4,3.9,1.1,0.9,19.3
Ochai Agbaji,SG,23,2.8,1.1,0.6,0.6,5.8
Santi Aldama,PF,23,5.8,2.3,0.7,0.9,10.7
Nickeil Alexander-Walker,SG,25,2,2.5,0.8,0.5,8
Grayson Allen,SG,28,3.9,3,0.9,0.6,13.5
Jarrett Allen,C,25,10.5,2.7,0.7,1.1,16.5
Timmy Allen,SF,24,3.4,1,0.8,0,2.6
Jose Alvarado,PG,25,2.3,2.1,1.1,0.3,7.1
Kyle Anderson,PF,30,3.5,4.2,0.9,0.6,6.4
Giannis Antetokounmpo,PF,29,11.5,6.5,1.2,1.1,30.4
Thanasis Antetokounmpo,PF,31,0.4,0.5,0.2,0.1,0.9
Cole Anthony,PG,23,3.8,2.9,0.8,0.5,11.6
OG Anunoby,SF,26,4.2,2.1,1.4,0.7,14.7
Ryan Arcidiacono,PG,29,0.4,0.2,0.1,0,0
Deni Avdija,SF,23,7.2,3.8,0.8,0.5,14.7
Deandre Ayton,C,25,11.1,1.6,1,0.8,16.7
Udoka Azubuike,C,24,2,0.2,0.1,0.4,2.2
Ibou Badji,C,21,2.3,0.6,0.1,0.9,1.5
Marvin Bagley III,C,24,6.2,1.1,0.4,0.7,11.7
Amari Bailey,PG,19,0.9,0.7,0.3,0,2.3
Patrick Baldwin Jr.,SF,21,3.2,0.8,0.5,0.4,4.4
LaMelo Ball,PG,22,5.1,8,1.8,0.2,23.9
Mo Bamba,C,25,4.2,0.7,0.4,1.1,4.4
Paolo Banchero,PF,21,6.9,5.4,0.9,0.6,22.6
Desmond Bane,SG,25,4.4,5.5,1,0.5,23.7
Dalano Banton,PG,24,3.3,2.4,0.6,0.4,10.3
Dominick Barlow,PF,20,3.4,1.1,0.4,0.4,4.4
Harrison Barnes,PF,31,3,1.2,0.7,0.1,12.2
Scottie Barnes,SG,22,8.2,6.1,1.3,1.5,19.9
RJ Barrett,SG,23,5.4,3.3,0.5,0.4,20.2
Charles Bassey,C,23,4,1.1,0.4,0.9,3.3
Emoni Bates,SF,20,0.9,0.7,0.1,0.1,2.7
Keita Bates-Diop,SF,28,2.1,0.7,0.5,0.4,3.7
Nicolas Batum,PF,35,4.1,2.1,0.8,0.6,5.3
Darius Bazley,PF,23,3.1,0.8,0.7,0.8,5.3
Bradley Beal,SG,30,4.4,5,1,0.5,18.2
Malik Beasley,SG,27,3.7,1.4,0.7,0.1,11.3
MarJon Beauchamp,SF,23,2.1,0.6,0.3,0.1,4.4
Jules Bernard,SG,24,1.4,0.8,0.2,0.1,3.9
Davis Bertans,PF,31,1.4,0.8,0.6,0.3,6.7
Patrick Beverley,PG,35,3.3,2.9,0.6,0.4,6.2
Saddiq Bey,SF,24,6.5,1.5,0.8,0.2,13.7
Goga Bitadze,C,24,4.6,1.3,0.5,1.2,5
Onuralp Bitim,SG,24,1.4,0.6,0.1,0.1,3.5
Bismack Biyombo,C,31,5.2,1.3,0.3,0.9,4.4
Anthony Black,PG,20,2,1.3,0.5,0.3,4.6
Leaky Black,SF,24,1.8,0.9,0.3,0.4,2.7
Buddy Boeheim,SF,24,1,0.3,0,0.1,3.4
Bogdan Bogdanovic,SG,31,3.4,3.1,1.2,0.3,16.9
